level,role,method,MAE,MASE,RMSSE,n_series,approach
1,top,base,5.056800450709389,0.8253758417157729,0.7323790940357958,1,centralised
1,top,bu,5.710613815926229,0.9320918891257846,0.9144794699704408,1,centralised
1,top,mint_ols,5.045285857996011,0.823496418798959,0.7310090780205647,1,centralised
1,top,mint_shrinkage,4.897508252652972,0.7993760156733735,0.7237333645665082,1,centralised
1,top,mint_var,5.247796240156355,0.85655035849087,0.8191761906201749,1,centralised
1,top,naive,7.763218892694064,1.2671200674098724,1.1986836378788746,1,centralised
1,top,wls_structure,5.0592022018680005,0.8257678578539326,0.7716291324787634,1,centralised
2,middle,base,0.23835416167932053,1.0692680437637039,0.9941173633093358,100,centralised
2,middle,bu,0.23515189432222333,1.0595342812394628,0.9900228781879734,100,centralised
2,middle,mint_ols,0.23971739711202755,1.096228432492088,0.9879176426180608,100,centralised
2,middle,mint_shrinkage,0.23418556285005784,1.0619919521311818,0.9779666222386237,100,centralised
2,middle,mint_var,0.2337558681228674,1.0563909711591264,0.9819734364070402,100,centralised
2,middle,naive,0.2642091352739726,1.156273507855631,1.1314676824766172,100,centralised
2,middle,wls_structure,0.2338583667193756,1.0581389544955164,0.9798445081906467,100,centralised
3,bottom,base,0.12382050712098835,1.091607389456531,0.9936309851896347,299,centralised
3,bottom,bu,0.12382050712098835,1.091607389456531,0.9936309851896347,299,centralised
3,bottom,mint_ols,0.12801930060110744,1.1366054225553437,0.9962957693101965,299,centralised
3,bottom,mint_shrinkage,0.1255333506381467,1.1069257381746491,0.9899370301154896,299,centralised
3,bottom,mint_var,0.12480394617485754,1.0988602095653752,0.9914496723948876,299,centralised
3,bottom,naive,0.13391556615659503,1.1711864677646742,1.1335673222455458,299,centralised
3,bottom,wls_structure,0.12522393577536944,1.1062579901621754,0.9909903829444944,299,centralised
