unique_id,level,role,horizon_index,target_col,method,MAE,MASE,RMSSE,approach
GC,1,top,0,y,base,5.056800450709389,0.8253758417157729,0.7323790940357958,centralised
GC,1,top,0,y,bu,5.710613815926229,0.9320918891257846,0.9144794699704408,centralised
GC,1,top,0,y,mint_shrinkage,4.897508252652972,0.7993760156733735,0.7237333645665082,centralised
GC,1,top,0,y,mint_var,5.247796240156355,0.85655035849087,0.8191761906201749,centralised
GC,1,top,0,y,mint_ols,5.045285857996011,0.823496418798959,0.7310090780205647,centralised
GC,1,top,0,y,wls_structure,5.0592022018680005,0.8257678578539326,0.7716291324787634,centralised
GC,1,top,0,y,naive,7.763218892694064,1.2671200674098724,1.1986836378788746,centralised
GC/2008,2,middle,0,y,base,0.08658794244117655,0.8380742253507446,0.8240800382234895,centralised
GC/2008,2,middle,0,y,bu,0.08658794244117655,0.8380742253507446,0.8240800382234895,centralised
GC/2008,2,middle,0,y,mint_shrinkage,0.08767624932479409,0.8486078160877144,0.8246435015305755,centralised
GC/2008,2,middle,0,y,mint_var,0.08674539187298783,0.839598159363691,0.824129664966043,centralised
GC/2008,2,middle,0,y,mint_ols,0.09500975437299562,0.9195879247391305,0.8534031472194633,centralised
GC/2008,2,middle,0,y,wls_structure,0.08747086888870105,0.8466199636797673,0.8249375897620361,centralised
GC/2008,2,middle,0,y,naive,0.09359674657534246,0.9059115931155073,0.9292703699999881,centralised
GC/2010,2,middle,0,y,base,0.15494031883380943,1.0323608984722072,0.867001640023558,centralised
GC/2010,2,middle,0,y,bu,0.15494031883380943,1.0323608984722072,0.867001640023558,centralised
GC/2010,2,middle,0,y,mint_shrinkage,0.15705007769743246,1.0464181340091094,0.8669394294276112,centralised
GC/2010,2,middle,0,y,mint_var,0.15546628242275864,1.0358653719839321,0.8666782347021108,centralised
GC/2010,2,middle,0,y,mint_ols,0.16258282694797696,1.083282612088828,0.8701522480811315,centralised
GC/2010,2,middle,0,y,wls_structure,0.15589890469648113,1.038747916195541,0.8665180267487578,centralised
GC/2010,2,middle,0,y,naive,0.1729697488584475,1.1524902406555126,1.0456213595674355,centralised
GC/2018,2,middle,0,y,base,0.25570280346380125,1.2977187118958888,1.3065125740984371,centralised
GC/2018,2,middle,0,y,bu,0.2549473367015398,1.2938846383530038,1.305877934174602,centralised
GC/2018,2,middle,0,y,mint_shrinkage,0.253455770165074,1.2863147807754218,1.2933047215203801,centralised
GC/2018,2,middle,0,y,mint_var,0.2527909300847004,1.2829406472069516,1.294128709124755,centralised
GC/2018,2,middle,0,y,mint_ols,0.2566251162272754,1.3023995465021871,1.2967617978321007,centralised
GC/2018,2,middle,0,y,wls_structure,0.25299655297389845,1.2839842050690153,1.292982254280494,centralised
GC/2018,2,middle,0,y,naive,0.2801615296803653,1.4218493285743528,1.4621940984399064,centralised
GC/2021,2,middle,0,y,base,0.06815992837075498,0.8660088926558875,0.7918860520127465,centralised
GC/2021,2,middle,0,y,bu,0.06815992837075498,0.8660088926558875,0.7918860520127465,centralised
GC/2021,2,middle,0,y,mint_shrinkage,0.06843542861381088,0.8695092728076607,0.7887982943609296,centralised
GC/2021,2,middle,0,y,mint_var,0.06816759589328729,0.8661063126922101,0.7914188580879733,centralised
GC/2021,2,middle,0,y,mint_ols,0.07309936167894926,0.9287670743592049,0.8129284350342495,centralised
GC/2021,2,middle,0,y,wls_structure,0.06834723092243632,0.8683886732579278,0.7899307517782863,centralised
GC/2021,2,middle,0,y,naive,0.0727685502283105,0.9245639352877077,0.8861035368325791,centralised
GC/2025,2,middle,0,y,base,0.05220216074897853,0.6523343495790274,0.7170765442720444,centralised
GC/2025,2,middle,0,y,bu,0.05220216074897853,0.6523343495790274,0.7170765442720444,centralised
GC/2025,2,middle,0,y,mint_shrinkage,0.057177153784776,0.7145034015800145,0.721276672687535,centralised
GC/2025,2,middle,0,y,mint_var,0.0523029747664762,0.6535941527287289,0.7167288885973707,centralised
GC/2025,2,middle,0,y,mint_ols,0.06266847312713228,0.7831246268345038,0.7347863199437149,centralised
GC/2025,2,middle,0,y,wls_structure,0.05286679379479294,0.6606398097253022,0.7164486886072846,centralised
GC/2025,2,middle,0,y,naive,0.05638698630136986,0.7046292242672233,0.7879291597376507,centralised
GC/2026,2,middle,0,y,base,0.19124268511681702,0.919507517625876,0.8972356876918206,centralised
GC/2026,2,middle,0,y,bu,0.19037244166779418,0.9153233293885462,0.8891338086232354,centralised
GC/2026,2,middle,0,y,mint_shrinkage,0.19001391626996492,0.9135995154901874,0.8790783537616793,centralised
GC/2026,2,middle,0,y,mint_var,0.18947633934043284,0.9110148099486132,0.8844814829783962,centralised
GC/2026,2,middle,0,y,mint_ols,0.19198241695692497,0.9230641973890314,0.8818853124974315,centralised
GC/2026,2,middle,0,y,wls_structure,0.18951538983548125,0.9112025673195269,0.8825018264516121,centralised
GC/2026,2,middle,0,y,naive,0.20922602739726026,1.0059726203763746,0.9853944154053473,centralised
GC/2029,2,middle,0,y,base,0.1607434095322667,1.2240644929319218,1.243845963865269,centralised
GC/2029,2,middle,0,y,bu,0.1607434095322667,1.2240644929319218,1.243845963865269,centralised
GC/2029,2,middle,0,y,mint_shrinkage,0.16214604475317257,1.234745590063322,1.242633394781889,centralised
GC/2029,2,middle,0,y,mint_var,0.16108779670426088,1.226687008593907,1.2430112802094668,centralised
GC/2029,2,middle,0,y,mint_ols,0.168548031476482,1.283496855543053,1.24079862832944,centralised
GC/2029,2,middle,0,y,wls_structure,0.16139231755297356,1.229005941353585,1.2426037202878475,centralised
GC/2029,2,middle,0,y,naive,0.14640896118721458,1.1149073629693218,1.3337816771716766,centralised
GC/2031,2,middle,0,y,base,0.16391554391609447,1.559961189771704,1.2272259230963898,centralised
GC/2031,2,middle,0,y,bu,0.16391554391609447,1.559961189771704,1.2272259230963898,centralised
GC/2031,2,middle,0,y,mint_shrinkage,0.16379515832649594,1.5588154970381483,1.227499176183517,centralised
GC/2031,2,middle,0,y,mint_var,0.16409333889796787,1.5616532396214768,1.22666137539074,centralised
GC/2031,2,middle,0,y,mint_ols,0.1697711757195963,1.6156884145169763,1.2252120947782394,centralised
GC/2031,2,middle,0,y,wls_structure,0.1644540020516548,1.5650856201565424,1.22581671126201,centralised
GC/2031,2,middle,0,y,naive,0.17526997716894976,1.6680197349416133,1.4382187215419953,centralised
GC/2034,2,middle,0,y,base,0.09565978658451492,0.7879578486892848,0.7630661056121882,centralised
GC/2034,2,middle,0,y,bu,0.09565978658451492,0.7879578486892848,0.7630661056121882,centralised
GC/2034,2,middle,0,y,mint_shrinkage,0.09676131062731526,0.7970311964985823,0.7634999391936994,centralised
GC/2034,2,middle,0,y,mint_var,0.09632538682103306,0.7934404547997485,0.7630336986700699,centralised
GC/2034,2,middle,0,y,mint_ols,0.10615046722143769,0.874370482891148,0.7716292751326971,centralised
GC/2034,2,middle,0,y,wls_structure,0.09692685962309393,0.7983948377445429,0.7631243905498617,centralised
GC/2034,2,middle,0,y,naive,0.09117893835616438,0.7510487183600537,0.8878695207162657,centralised
GC/2037,2,middle,0,y,base,0.3513118816539041,1.0602877302937326,0.8875904042123418,centralised
