partition_id,stopped_early,stop_epoch,stop_reason,early_stop_tol,min_epochs,final_avg_normalised_loss,final_avg_actual_loss,n_train,n_test
0,True,50,normalised_loss_delta<1e-05 after min_epochs=20,1e-05,20,0.017142573125383167,24.413168384262097,13968,3504
1,False,100,max_epochs,1e-05,20,0.32126275611270483,0.009915952624198416,13968,3504
2,False,100,max_epochs,1e-05,20,0.4688149263862305,0.03851266648665099,13968,3504
3,False,100,max_epochs,1e-05,20,0.24396851092299937,0.05537485937567301,13968,3504
4,False,100,max_epochs,1e-05,20,0.2496494668688016,0.009146621472845453,13968,3504
5,False,100,max_epochs,1e-05,20,0.20246637020490862,0.02147716256572959,13968,3504
6,False,100,max_epochs,1e-05,20,0.2197125295086229,0.06811264854908582,13968,3504
7,False,100,max_epochs,1e-05,20,0.12105399127720007,0.04956007261830142,13968,3504
8,False,100,max_epochs,1e-05,20,0.4014533426999406,0.025091688324179247,13968,3504
9,False,100,max_epochs,1e-05,20,0.2830144072927755,0.029496947538173668,13968,3504
10,False,100,max_epochs,1e-05,20,0.21534502176874806,0.10881518181166266,13968,3504
11,False,100,max_epochs,1e-05,20,0.2713702812533651,0.04523557325191553,13968,3504
12,False,100,max_epochs,1e-05,20,0.2816292758747768,0.04615148488114118,13968,3504
13,False,100,max_epochs,1e-05,20,0.2582748509800964,0.06224750334456098,13968,3504
14,False,100,max_epochs,1e-05,20,0.1358312784161545,0.02646799482907275,13968,3504
15,False,100,max_epochs,1e-05,20,0.46287351931847753,0.012300093484137005,13968,3504
16,False,100,max_epochs,1e-05,20,0.22741865910405065,0.018906433630949834,13968,3504
17,False,100,max_epochs,1e-05,20,0.14941624634630168,0.25801620411812837,13968,3504
18,True,27,normalised_loss_delta<1e-05 after min_epochs=20,1e-05,20,0.2608144715037715,0.5612784826091958,13968,3504
19,False,100,max_epochs,1e-05,20,0.1468432426992731,0.3760883200109005,13968,3504
20,False,100,max_epochs,1e-05,20,0.24239524324198197,0.07948861585410519,13968,3504
21,True,30,normalised_loss_delta<1e-05 after min_epochs=20,1e-05,20,0.39132918911098263,0.10968494908923941,13968,3504
22,False,100,max_epochs,1e-05,20,0.17654244295146124,0.018193513843827638,13968,3504
23,False,100,max_epochs,1e-05,20,0.286317333866895,0.10626666816048969,13968,3504
24,False,100,max_epochs,1e-05,20,0.3096004806201695,0.023182162702780333,13968,3504
25,False,100,max_epochs,1e-05,20,0.2842307627328148,0.034692104154193486,13968,3504
26,False,100,max_epochs,1e-05,20,0.15119614175865928,0.1965888474453921,13968,3504
27,False,100,max_epochs,1e-05,20,0.21671868710765604,0.07243905434648237,13968,3504
28,False,100,max_epochs,1e-05,20,0.2508056905734384,0.018045613461299664,13968,3504
29,True,26,normalised_loss_delta<1e-05 after min_epochs=20,1e-05,20,0.3386219650530825,0.0289380128602327,13968,3504
30,False,100,max_epochs,1e-05,20,0.12492061016154672,0.19892186648736354,13968,3504
31,False,100,max_epochs,1e-05,20,0.2264657328535974,0.05969657807454439,13968,3504
32,False,100,max_epochs,1e-05,20,0.23882134102249222,0.06837135629703199,13968,3504
33,False,100,max_epochs,1e-05,20,0.18054658263133297,0.2136504988206466,13968,3504
34,False,100,max_epochs,1e-05,20,0.1089567112813931,0.031484851073227266,13968,3504
35,False,100,max_epochs,1e-05,20,0.1777666319949206,0.023465441700734082,13968,3504
36,False,100,max_epochs,1e-05,20,0.24250892084172765,0.10005609792281744,13968,3504
37,False,100,max_epochs,1e-05,20,0.1264276802548561,0.29383347510845054,13968,3504
38,True,83,normalised_loss_delta<1e-05 after min_epochs=20,1e-05,20,0.178612944384981,0.030733421725707245,13968,3504
39,False,100,max_epochs,1e-05,20,0.3150386350769366,0.02112812462110495,13968,3504
40,False,100,max_epochs,1e-05,20,0.31971542298790223,0.14731708234185226,13968,3504
41,True,60,normalised_loss_delta<1e-05 after min_epochs=20,1e-05,20,0.22916697015880294,0.024541100909074895,13968,3504
42,False,100,max_epochs,1e-05,20,0.21973941902666086,0.13994512502155051,13968,3504
43,False,100,max_epochs,1e-05,20,0.2175163860494466,0.034518625786793065,13968,3504
44,False,100,max_epochs,1e-05,20,0.21751007845616943,0.13101893481067578,13968,3504
45,False,100,max_epochs,1e-05,20,0.218240207152405,0.003140222055052358,13968,3504
46,False,100,max_epochs,1e-05,20,0.5229998938383639,0.012562897791511967,13968,3504
47,True,21,normalised_loss_delta<1e-05 after min_epochs=20,1e-05,20,0.2695762590848662,0.022167923317537253,13968,3504
48,True,54,normalised_loss_delta<1e-05 after min_epochs=20,1e-05,20,0.23714112085420316,0.04454873529844037,13968,3504
49,False,100,max_epochs,1e-05,20,0.22003074997512928,0.18008667587688,13968,3504
50,False,100,max_epochs,1e-05,20,0.21315586782197013,0.10586118399749454,13968,3504
51,False,100,max_epochs,1e-05,20,0.11429649598765516,0.014832345862901157,13968,3504
52,False,100,max_epochs,1e-05,20,0.1822612874756482,0.038134993687372165,13968,3504
53,False,100,max_epochs,1e-05,20,0.32479988446166025,0.021017710947884204,13968,3504
54,False,100,max_epochs,1e-05,20,0.22601209063410646,0.07145362945658892,13968,3504
55,False,100,max_epochs,1e-05,20,0.21913221094208488,0.002608128391107618,13968,3504
56,False,100,max_epochs,1e-05,20,0.3174857595933788,0.046584307215661556,13968,3504
57,False,100,max_epochs,1e-05,20,0.23400072447302173,0.048129139692665364,13968,3504
58,False,100,max_epochs,1e-05,20,0.2516193812473505,0.016160681233673615,13968,3504
59,False,100,max_epochs,1e-05,20,0.17677969523419,0.010540772734650955,13968,3504
60,False,100,max_epochs,1e-05,20,0.2771361292754233,0.12697795615684354,13968,3504
61,False,100,max_epochs,1e-05,20,0.2292469860149114,0.09381188850017268,13968,3504
62,False,100,max_epochs,1e-05,20,0.14816481277526053,0.051466397477775115,13968,3504
63,False,100,max_epochs,1e-05,20,0.30751572817702466,0.05553057309106253,13968,3504
64,False,100,max_epochs,1e-05,20,0.17101208280977293,0.04131517892048644,13968,3504
65,True,97,normalised_loss_delta<1e-05 after min_epochs=20,1e-05,20,0.132233309050691,0.07580963873582419,13968,3504
66,False,100,max_epochs,1e-05,20,0.2194033108806418,0.11264927649779563,13968,3504
67,False,100,max_epochs,1e-05,20,0.20661595641202724,0.14556115788379628,13968,3504
68,True,67,normalised_loss_delta<1e-05 after min_epochs=20,1e-05,20,0.07760284800837848,1.0649457768640356,13968,3504
69,False,100,max_epochs,1e-05,20,0.19206475028146958,0.05080280164801441,13968,3504
70,False,100,max_epochs,1e-05,20,0.10536314456360728,0.8706351442516693,13968,3504
71,False,100,max_epochs,1e-05,20,0.21358497019694708,0.1724675043125188,13968,3504
72,False,100,max_epochs,1e-05,20,0.23622306555799924,0.2104846890248466,13968,3504
73,False,100,max_epochs,1e-05,20,0.13736813683247298,0.022547586892493966,13968,3504
74,True,94,normalised_loss_delta<1e-05 after min_epochs=20,1e-05,20,0.26630146570057406,0.043256423287995366,13968,3504
75,False,100,max_epochs,1e-05,20,0.1269423879819644,0.016370638475602838,13968,3504
76,True,54,normalised_loss_delta<1e-05 after min_epochs=20,1e-05,20,0.275869980107255,0.16927096977278913,13968,3504
77,False,100,max_epochs,1e-05,20,0.153203792898908,0.02044772095446235,13968,3504
78,False,100,max_epochs,1e-05,20,0.2858111156761014,0.10658257436738844,13968,3504
79,False,100,max_epochs,1e-05,20,0.26142751092327543,0.07360793362829209,13968,3504
80,False,100,max_epochs,1e-05,20,0.2864815501446817,0.19232680471865607,13968,3504
81,False,100,max_epochs,1e-05,20,0.2037297248441494,0.20596983100611363,13968,3504
82,False,100,max_epochs,1e-05,20,0.24146437577985938,0.037561678844579206,13968,3504
83,False,100,max_epochs,1e-05,20,0.152167699085914,0.19841753983203717,13968,3504
84,False,100,max_epochs,1e-05,20,0.16940251322861774,0.6786504131149629,13968,3504
85,False,100,max_epochs,1e-05,20,0.151667561286394,0.3802841439337281,13968,3504
86,False,100,max_epochs,1e-05,20,0.2973522448434523,0.012598705877190954,13968,3504
87,True,40,normalised_loss_delta<1e-05 after min_epochs=20,1e-05,20,0.3535806297424521,0.06360410862570276,13968,3504
88,False,100,max_epochs,1e-05,20,0.17659262092970882,0.02398971179539056,13968,3504
89,False,100,max_epochs,1e-05,20,0.2884219947557527,0.06783394395651104,13968,3504
90,False,100,max_epochs,1e-05,20,0.20673252125017993,0.019264895553791846,13968,3504
91,False,100,max_epochs,1e-05,20,0.20604178803330322,0.04783679151675582,13968,3504
92,False,100,max_epochs,1e-05,20,0.18572481131784005,0.07497446317275885,13968,3504
93,False,100,max_epochs,1e-05,20,0.14098461003746304,0.11435799646111261,13968,3504
94,False,100,max_epochs,1e-05,20,0.2389277436790183,0.01125646704616841,13968,3504
95,False,100,max_epochs,1e-05,20,0.1222752265512437,0.15064622835553387,13968,3504
96,False,100,max_epochs,1e-05,20,0.19836173141420657,0.010974995833559341,13968,3504
97,False,100,max_epochs,1e-05,20,0.23597897921635377,0.006052681852337577,13968,3504
98,False,100,max_epochs,1e-05,20,0.18165667102929417,0.22354313853717803,13968,3504
99,False,100,max_epochs,1e-05,20,0.15989595321113528,0.009278495556788679,13968,3504
100,False,100,max_epochs,1e-05,20,0.4700155833869663,0.16447795365142506,13968,3504
101,True,61,normalised_loss_delta<1e-05 after min_epochs=20,1e-05,20,0.4908694633276074,0.015150957434090713,13968,3504
102,False,100,max_epochs,1e-05,20,0.5118952921267144,0.042051674450145994,13968,3504
103,False,100,max_epochs,1e-05,20,0.24391881969846388,0.020575594211172898,13968,3504
104,False,100,max_epochs,1e-05,20,0.17700084164642257,0.024320267931140022,13968,3504
105,False,100,max_epochs,1e-05,20,0.25132458826698667,0.009207994331127239,13968,3504
106,False,100,max_epochs,1e-05,20,0.21589319134698787,0.02290144858477346,13968,3504
107,False,100,max_epochs,1e-05,20,0.21012234462648466,0.02175240596610446,13968,3504
108,False,100,max_epochs,1e-05,20,0.24783073469280273,0.036821893692035285,13968,3504
109,False,100,max_epochs,1e-05,20,0.10923620886190356,0.04472181698947036,13968,3504
110,False,100,max_epochs,1e-05,20,0.3867636014947203,0.02417354823495912,13968,3504
111,False,100,max_epochs,1e-05,20,0.29988510135305463,0.031255281972059346,13968,3504
112,False,100,max_epochs,1e-05,20,0.37539517977369347,0.0670106477331846,13968,3504
113,False,100,max_epochs,1e-05,20,0.06771771639132868,0.026215974115583927,13968,3504
114,False,100,max_epochs,1e-05,20,0.27344994718928106,0.04558223936564449,13968,3504
115,False,100,max_epochs,1e-05,20,0.2670296052580861,0.01755043129989171,13968,3504
116,False,100,max_epochs,1e-05,20,0.31306727305286897,0.021428409189765685,13968,3504
117,False,100,max_epochs,1e-05,20,0.13464332080114555,0.006881175994489741,13968,3504
118,False,100,max_epochs,1e-05,20,0.15566617828241397,0.007683646350371459,13968,3504
119,True,22,normalised_loss_delta<1e-05 after min_epochs=20,1e-05,20,0.5556432815435883,0.05322879251681831,13968,3504
120,False,100,max_epochs,1e-05,20,0.15703756434242266,0.030600237952933027,13968,3504
121,False,100,max_epochs,1e-05,20,0.7365879088022959,0.019573597882404394,13968,3504
122,False,100,max_epochs,1e-05,20,0.187866906845475,0.008648592739785481,13968,3504
123,False,100,max_epochs,1e-05,20,0.3557573935367737,0.008955616244361891,13968,3504
124,False,100,max_epochs,1e-05,20,0.21513608360418213,0.07672842021242883,13968,3504
125,False,100,max_epochs,1e-05,20,0.36195405469135206,0.020331407798821543,13968,3504
126,True,91,normalised_loss_delta<1e-05 after min_epochs=20,1e-05,20,0.3402487743273692,0.03360261358557767,13968,3504
127,False,100,max_epochs,1e-05,20,0.121546549544632,0.08505980312019303,13968,3504
128,False,100,max_epochs,1e-05,20,0.21526527383467597,0.04668597516191686,13968,3504
129,False,100,max_epochs,1e-05,20,0.31760417806739055,0.06127685255329771,13968,3504
130,False,100,max_epochs,1e-05,20,0.23673227801745425,0.0632587630988742,13968,3504
131,False,100,max_epochs,1e-05,20,0.13965863822711166,0.021068941980116867,13968,3504
132,False,100,max_epochs,1e-05,20,0.25828391643686777,0.12389591437956643,13968,3504
133,False,100,max_epochs,1e-05,20,0.18806204492807244,0.017202623627819484,13968,3504
134,True,73,normalised_loss_delta<1e-05 after min_epochs=20,1e-05,20,0.15698906713967334,0.08795964745178893,13968,3504
135,False,100,max_epochs,1e-05,20,0.19263463096393418,0.022564174915421578,13968,3504
136,False,100,max_epochs,1e-05,20,0.3187388397352151,0.06649203468764228,13968,3504
137,True,99,normalised_loss_delta<1e-05 after min_epochs=20,1e-05,20,0.14474320132066354,0.049623856921930526,13968,3504
138,False,100,max_epochs,1e-05,20,0.24403424242490918,0.04494247624720814,13968,3504
139,False,100,max_epochs,1e-05,20,0.16513609805118917,0.0031929267011329247,13968,3504
140,False,100,max_epochs,1e-05,20,0.314950829184599,0.01308635762414744,13968,3504
141,True,51,normalised_loss_delta<1e-05 after min_epochs=20,1e-05,20,0.3952142706945067,0.025038293477913993,13968,3504
142,False,100,max_epochs,1e-05,20,0.20303568859190815,0.01096490173454799,13968,3504
143,False,100,max_epochs,1e-05,20,0.2875739972931397,0.01260693168698497,13968,3504
144,False,100,max_epochs,1e-05,20,0.38871084608579537,0.01223859084772597,13968,3504
145,False,100,max_epochs,1e-05,20,0.3682419036818799,0.02139862191100263,13968,3504
146,False,100,max_epochs,1e-05,20,0.26670218917573074,0.032005706379523,13968,3504
147,False,100,max_epochs,1e-05,20,0.1852977752011504,0.019095791255587625,13968,3504
148,False,100,max_epochs,1e-05,20,0.2503610237852722,0.027815553578761212,13968,3504
149,False,100,max_epochs,1e-05,20,0.29698587517134434,0.0598375020999421,13968,3504
150,False,100,max_epochs,1e-05,20,0.3137306296639287,0.023491418641037806,13968,3504
151,False,100,max_epochs,1e-05,20,0.34908254581669534,0.019601114782089327,13968,3504
152,False,100,max_epochs,1e-05,20,0.26902490467161144,0.010219660639876615,13968,3504
153,False,100,max_epochs,1e-05,20,0.15877543134791852,0.0163417482024569,13968,3504
154,False,100,max_epochs,1e-05,20,0.2666048190607551,0.011539879038924108,13968,3504
155,False,100,max_epochs,1e-05,20,0.25940988603149223,0.025115332625815074,13968,3504
156,False,100,max_epochs,1e-05,20,0.15226840719481646,0.04364451736014317,13968,3504
157,False,100,max_epochs,1e-05,20,0.15278896445385987,0.04036098408074298,13968,3504
158,False,100,max_epochs,1e-05,20,0.272338179526917,0.02154991087896772,13968,3504
159,False,100,max_epochs,1e-05,20,0.2879702251810047,0.013656237373201279,13968,3504
160,False,100,max_epochs,1e-05,20,0.07720821509805732,0.00687346209403814,13968,3504
161,False,100,max_epochs,1e-05,20,0.23941137358422643,0.023662999881666258,13968,3504
162,False,100,max_epochs,1e-05,20,0.2387483251568285,0.017178079095662647,13968,3504
163,False,100,max_epochs,1e-05,20,0.3031582012312976,0.008956734577453227,13968,3504
164,False,100,max_epochs,1e-05,20,0.20616618774374648,0.010165540001614284,13968,3504
165,False,100,max_epochs,1e-05,20,0.23126898006074087,0.021728094459409673,13968,3504
166,False,100,max_epochs,1e-05,20,0.329948283790065,0.009112316268603511,13968,3504
167,False,100,max_epochs,1e-05,20,0.37696084978444894,0.01183367177633736,13968,3504
168,False,100,max_epochs,1e-05,20,0.2514528760774489,0.01472863227970113,13968,3504
169,False,100,max_epochs,1e-05,20,0.2868073087059642,0.009665431624020443,13968,3504
170,False,100,max_epochs,1e-05,20,0.22860249493314305,0.01856434043989868,13968,3504
171,False,100,max_epochs,1e-05,20,0.20528251765207486,0.019733027969226744,13968,3504
172,False,100,max_epochs,1e-05,20,0.18127228129380016,0.014842010868812433,13968,3504
173,False,100,max_epochs,1e-05,20,0.253322138943369,0.015370389664690953,13968,3504
174,False,100,max_epochs,1e-05,20,0.11721231737208511,0.02288049693613283,13968,3504
175,False,100,max_epochs,1e-05,20,0.2555965272886541,0.01689444226582254,13968,3504
176,False,100,max_epochs,1e-05,20,0.32622008571692496,0.02856748638330424,13968,3504
177,False,100,max_epochs,1e-05,20,0.1703061249400719,0.02710394795322813,13968,3504
178,False,100,max_epochs,1e-05,20,0.19493034256716943,0.028938281115788275,13968,3504
179,False,100,max_epochs,1e-05,20,0.26660106695326063,0.03276808804990318,13968,3504
180,False,100,max_epochs,1e-05,20,0.23491405151803835,0.010020505980861176,13968,3504
181,False,100,max_epochs,1e-05,20,0.21924790530060262,0.0044002986919475665,13968,3504
182,False,100,max_epochs,1e-05,20,0.2682390128275924,0.0592270846606501,13968,3504
183,False,100,max_epochs,1e-05,20,0.3128521978874459,0.014855001066832966,13968,3504
184,False,100,max_epochs,1e-05,20,0.1086170462272937,0.031386699215325824,13968,3504
185,False,100,max_epochs,1e-05,20,0.1778418984730652,0.023475376980123145,13968,3504
186,False,100,max_epochs,1e-05,20,0.28776976950200844,0.05742667906914342,13968,3504
187,False,100,max_epochs,1e-05,20,0.21524848993342988,0.03308162019040375,13968,3504
